"participant_id","presentation_order","task_id","position_1","position_2","position_3","position_4"
1,1,12,"O09","O11","O03","O05"
1,2,10,"O01","O07","O09","O06"
1,3,6,"O10","O12","O07","O03"
1,4,5,"O11","O03","O01","O08"
1,5,4,"O01","O10","O04","O05"
1,6,7,"O08","O07","O06","O05"
1,7,1,"O02","O12","O01","O05"
1,8,9,"O02","O03","O06","O04"
1,9,2,"O04","O11","O07","O02"
1,10,8,"O08","O04","O09","O12"
1,11,11,"O11","O06","O12","O10"
1,12,3,"O10","O09","O08","O02"
2,1,10,"O06","O01","O09","O07"
2,2,1,"O05","O01","O12","O02"
2,3,8,"O12","O09","O08","O04"
2,4,6,"O12","O07","O10","O03"
2,5,3,"O09","O08","O02","O10"
2,6,11,"O06","O10","O12","O11"
2,7,12,"O05","O09","O03","O11"
2,8,7,"O08","O06","O05","O07"
2,9,2,"O07","O02","O11","O04"
2,10,9,"O02","O06","O04","O03"
2,11,4,"O04","O10","O05","O01"
2,12,5,"O08","O01","O03","O11"
3,1,10,"O09","O01","O06","O07"
3,2,2,"O11","O02","O04","O07"
3,3,5,"O08","O01","O03","O11"
3,4,4,"O05","O04","O01","O10"
3,5,3,"O08","O09","O10","O02"
3,6,11,"O10","O06","O11","O12"
3,7,9,"O04","O02","O06","O03"
3,8,12,"O03","O09","O11","O05"
3,9,7,"O08","O07","O06","O05"
3,10,6,"O10","O12","O07","O03"
3,11,8,"O08","O04","O09","O12"
3,12,1,"O02","O12","O05","O01"
4,1,4,"O05","O01","O04","O10"
4,2,8,"O08","O12","O04","O09"
4,3,12,"O05","O09","O03","O11"
4,4,3,"O10","O09","O08","O02"
4,5,2,"O11","O02","O07","O04"
4,6,7,"O06","O07","O05","O08"
4,7,1,"O12","O02","O01","O05"
4,8,6,"O03","O07","O10","O12"
4,9,9,"O06","O02","O03","O04"
4,10,11,"O10","O11","O12","O06"
4,11,5,"O11","O08","O01","O03"
4,12,10,"O01","O07","O09","O06"
5,1,4,"O01","O05","O04","O10"
5,2,10,"O06","O01","O09","O07"
5,3,12,"O11","O09","O03","O05"
5,4,1,"O05","O12","O01","O02"
5,5,5,"O03","O08","O11","O01"
5,6,6,"O03","O10","O07","O12"
5,7,7,"O08","O07","O06","O05"
5,8,3,"O08","O10","O09","O02"
5,9,8,"O12","O09","O04","O08"
5,10,11,"O12","O10","O11","O06"
5,11,9,"O06","O04","O02","O03"
5,12,2,"O04","O02","O07","O11"
6,1,2,"O02","O11","O07","O04"
6,2,11,"O12","O06","O10","O11"
6,3,9,"O04","O03","O06","O02"
6,4,12,"O05","O09","O03","O11"
6,5,4,"O01","O05","O10","O04"
6,6,3,"O09","O08","O10","O02"
6,7,7,"O07","O06","O05","O08"
6,8,5,"O01","O03","O08","O11"
6,9,1,"O02","O05","O01","O12"
6,10,10,"O01","O06","O09","O07"
6,11,6,"O07","O10","O03","O12"
6,12,8,"O09","O04","O08","O12"
7,1,11,"O06","O12","O11","O10"
7,2,7,"O07","O05","O06","O08"
7,3,3,"O10","O02","O08","O09"
7,4,1,"O12","O05","O01","O02"
7,5,6,"O07","O12","O03","O10"
7,6,5,"O03","O11","O08","O01"
7,7,4,"O10","O05","O01","O04"
7,8,10,"O06","O01","O07","O09"
7,9,12,"O03","O09","O05","O11"
7,10,8,"O12","O04","O09","O08"
7,11,2,"O11","O07","O04","O02"
7,12,9,"O03","O06","O04","O02"
8,1,1,"O12","O02","O01","O05"
8,2,4,"O10","O04","O01","O05"
8,3,8,"O04","O08","O12","O09"
8,4,10,"O01","O07","O09","O06"
8,5,5,"O03","O11","O01","O08"
8,6,9,"O04","O03","O06","O02"
8,7,3,"O09","O10","O08","O02"
8,8,2,"O04","O07","O02","O11"
8,9,6,"O03","O12","O07","O10"
8,10,11,"O10","O06","O12","O11"
8,11,12,"O05","O03","O09","O11"
8,12,7,"O08","O07","O05","O06"
9,1,12,"O11","O03","O05","O09"
9,2,3,"O08","O10","O02","O09"
9,3,1,"O12","O01","O05","O02"
9,4,11,"O10","O06","O12","O11"
9,5,4,"O04","O10","O01","O05"
9,6,8,"O09","O12","O04","O08"
9,7,9,"O06","O02","O04","O03"
9,8,7,"O08","O05","O06","O07"
9,9,6,"O07","O03","O10","O12"
9,10,10,"O09","O07","O01","O06"
9,11,2,"O02","O11","O04","O07"
9,12,5,"O11","O01","O03","O08"
10,1,4,"O10","O04","O01","O05"
10,2,10,"O06","O01","O07","O09"
10,3,7,"O08","O05","O06","O07"
10,4,8,"O08","O12","O09","O04"
10,5,1,"O12","O02","O05","O01"
10,6,9,"O06","O04","O02","O03"
10,7,11,"O06","O12","O10","O11"
10,8,12,"O11","O03","O09","O05"
10,9,3,"O09","O10","O08","O02"
10,10,5,"O01","O03","O08","O11"
10,11,2,"O07","O11","O02","O04"
10,12,6,"O07","O03","O10","O12"
11,1,7,"O06","O07","O05","O08"
11,2,12,"O05","O03","O11","O09"
11,3,11,"O06","O10","O12","O11"
11,4,10,"O09","O06","O01","O07"
11,5,5,"O03","O11","O01","O08"
11,6,1,"O12","O01","O05","O02"
11,7,8,"O04","O08","O09","O12"
11,8,4,"O10","O05","O01","O04"
11,9,2,"O11","O04","O02","O07"
11,10,3,"O02","O09","O08","O10"
11,11,9,"O04","O03","O06","O02"
11,12,6,"O12","O07","O10","O03"
12,1,6,"O10","O12","O03","O07"
12,2,3,"O09","O02","O10","O08"
12,3,11,"O12","O10","O06","O11"
12,4,12,"O05","O03","O09","O11"
12,5,7,"O08","O06","O05","O07"
12,6,10,"O06","O01","O09","O07"
12,7,4,"O04","O10","O01","O05"
12,8,5,"O01","O11","O08","O03"
12,9,9,"O06","O02","O04","O03"
12,10,1,"O12","O02","O05","O01"
12,11,2,"O11","O07","O02","O04"
12,12,8,"O09","O04","O08","O12"
13,1,6,"O03","O10","O07","O12"
13,2,7,"O07","O08","O06","O05"
13,3,2,"O04","O07","O02","O11"
13,4,4,"O10","O04","O05","O01"
13,5,5,"O01","O03","O11","O08"
13,6,8,"O09","O12","O04","O08"
13,7,10,"O06","O01","O07","O09"
13,8,3,"O10","O02","O09","O08"
13,9,12,"O03","O05","O11","O09"
13,10,1,"O01","O02","O05","O12"
13,11,11,"O10","O11","O12","O06"
13,12,9,"O02","O06","O03","O04"
14,1,8,"O08","O12","O09","O04"
14,2,2,"O11","O02","O04","O07"
14,3,3,"O02","O09","O08","O10"
14,4,9,"O03","O06","O04","O02"
14,5,5,"O03","O11","O08","O01"
14,6,4,"O04","O01","O10","O05"
14,7,10,"O09","O01","O06","O07"
14,8,7,"O08","O07","O05","O06"
14,9,11,"O10","O06","O11","O12"
14,10,1,"O02","O05","O12","O01"
14,11,12,"O09","O05","O11","O03"
14,12,6,"O07","O03","O10","O12"
15,1,3,"O02","O08","O09","O10"
15,2,5,"O03","O11","O01","O08"
15,3,10,"O06","O09","O01","O07"
15,4,12,"O11","O03","O09","O05"
15,5,6,"O03","O10","O07","O12"
15,6,11,"O10","O12","O11","O06"
15,7,9,"O04","O03","O06","O02"
15,8,2,"O04","O11","O02","O07"
15,9,7,"O07","O05","O06","O08"
15,10,4,"O04","O05","O01","O10"
15,11,1,"O02","O01","O12","O05"
15,12,8,"O08","O09","O04","O12"
16,1,3,"O02","O08","O10","O09"
16,2,6,"O10","O12","O03","O07"
16,3,2,"O04","O11","O02","O07"
16,4,10,"O07","O09","O06","O01"
16,5,4,"O10","O01","O04","O05"
16,6,9,"O06","O04","O02","O03"
16,7,1,"O05","O02","O01","O12"
16,8,11,"O12","O11","O10","O06"
16,9,7,"O07","O08","O06","O05"
16,10,5,"O08","O03","O01","O11"
16,11,8,"O09","O12","O08","O04"
16,12,12,"O09","O03","O05","O11"
17,1,1,"O01","O05","O02","O12"
17,2,10,"O06","O09","O01","O07"
17,3,8,"O12","O04","O09","O08"
17,4,3,"O10","O09","O02","O08"
17,5,6,"O03","O10","O12","O07"
17,6,11,"O06","O10","O11","O12"
17,7,9,"O04","O02","O06","O03"
17,8,12,"O05","O09","O11","O03"
17,9,2,"O11","O07","O04","O02"
17,10,4,"O05","O01","O04","O10"
17,11,7,"O07","O05","O08","O06"
17,12,5,"O01","O11","O03","O08"
18,1,5,"O11","O08","O03","O01"
18,2,4,"O10","O05","O04","O01"
18,3,1,"O02","O05","O01","O12"
18,4,6,"O07","O12","O10","O03"
18,5,11,"O11","O06","O10","O12"
18,6,3,"O08","O10","O09","O02"
18,7,2,"O11","O04","O02","O07"
18,8,7,"O06","O07","O08","O05"
18,9,12,"O09","O11","O05","O03"
18,10,10,"O09","O01","O07","O06"
18,11,9,"O02","O03","O04","O06"
18,12,8,"O08","O09","O04","O12"
19,1,7,"O05","O07","O06","O08"
19,2,10,"O07","O09","O06","O01"
19,3,8,"O12","O04","O09","O08"
19,4,6,"O12","O10","O07","O03"
19,5,5,"O11","O01","O08","O03"
19,6,4,"O10","O01","O05","O04"
19,7,3,"O10","O09","O08","O02"
19,8,9,"O06","O04","O02","O03"
19,9,12,"O03","O05","O09","O11"
19,10,11,"O06","O12","O10","O11"
19,11,1,"O02","O05","O12","O01"
19,12,2,"O02","O11","O07","O04"
20,1,8,"O04","O09","O12","O08"
20,2,3,"O08","O02","O10","O09"
20,3,2,"O04","O02","O11","O07"
20,4,9,"O02","O03","O04","O06"
20,5,5,"O01","O08","O11","O03"
20,6,6,"O07","O03","O12","O10"
20,7,10,"O06","O09","O01","O07"
20,8,7,"O07","O05","O06","O08"
20,9,11,"O10","O06","O11","O12"
20,10,4,"O01","O05","O10","O04"
20,11,1,"O12","O05","O02","O01"
20,12,12,"O09","O11","O05","O03"
21,1,5,"O11","O08","O03","O01"
21,2,8,"O12","O04","O09","O08"
21,3,2,"O11","O04","O02","O07"
21,4,4,"O05","O04","O01","O10"
21,5,12,"O09","O11","O05","O03"
21,6,1,"O05","O01","O02","O12"
21,7,3,"O02","O10","O09","O08"
21,8,9,"O02","O03","O04","O06"
21,9,7,"O05","O06","O07","O08"
21,10,10,"O07","O09","O01","O06"
21,11,11,"O06","O11","O12","O10"
21,12,6,"O12","O07","O10","O03"
22,1,4,"O01","O10","O05","O04"
22,2,1,"O02","O05","O12","O01"
22,3,3,"O09","O02","O10","O08"
22,4,12,"O03","O09","O11","O05"
22,5,2,"O04","O11","O07","O02"
22,6,11,"O12","O11","O06","O10"
22,7,7,"O05","O07","O08","O06"
22,8,5,"O08","O11","O03","O01"
22,9,10,"O09","O07","O01","O06"
22,10,6,"O07","O12","O10","O03"
22,11,8,"O09","O04","O12","O08"
22,12,9,"O04","O06","O02","O03"
23,1,9,"O02","O03","O04","O06"
23,2,3,"O10","O02","O09","O08"
23,3,7,"O06","O08","O07","O05"
23,4,6,"O12","O03","O07","O10"
23,5,11,"O06","O10","O12","O11"
23,6,5,"O11","O08","O01","O03"
23,7,4,"O10","O01","O05","O04"
23,8,2,"O07","O04","O11","O02"
23,9,1,"O01","O05","O02","O12"
23,10,12,"O05","O11","O03","O09"
23,11,8,"O08","O04","O12","O09"
23,12,10,"O07","O09","O06","O01"
24,1,9,"O06","O02","O04","O03"
24,2,2,"O04","O02","O11","O07"
24,3,12,"O11","O05","O09","O03"
24,4,8,"O12","O04","O09","O08"
24,5,10,"O06","O07","O01","O09"
24,6,3,"O10","O08","O09","O02"
24,7,5,"O08","O01","O11","O03"
24,8,1,"O12","O01","O05","O02"
24,9,7,"O08","O05","O07","O06"
24,10,6,"O07","O12","O10","O03"
24,11,11,"O11","O10","O06","O12"
24,12,4,"O10","O04","O05","O01"
25,1,11,"O11","O10","O12","O06"
25,2,12,"O11","O05","O03","O09"
25,3,1,"O02","O01","O12","O05"
25,4,5,"O03","O08","O01","O11"
25,5,3,"O08","O02","O09","O10"
25,6,2,"O02","O04","O11","O07"
25,7,9,"O03","O06","O02","O04"
25,8,8,"O08","O04","O09","O12"
25,9,7,"O08","O06","O07","O05"
25,10,10,"O06","O09","O01","O07"
25,11,4,"O01","O04","O10","O05"
25,12,6,"O10","O03","O07","O12"
26,1,8,"O09","O12","O04","O08"
26,2,7,"O06","O08","O05","O07"
26,3,1,"O02","O01","O05","O12"
26,4,11,"O06","O12","O11","O10"
26,5,9,"O06","O02","O03","O04"
26,6,2,"O07","O11","O02","O04"
26,7,10,"O07","O09","O06","O01"
26,8,6,"O07","O03","O12","O10"
26,9,3,"O02","O08","O10","O09"
26,10,4,"O04","O01","O10","O05"
26,11,5,"O11","O03","O08","O01"
26,12,12,"O03","O05","O09","O11"
27,1,3,"O02","O09","O08","O10"
27,2,10,"O06","O01","O09","O07"
27,3,4,"O01","O10","O04","O05"
27,4,5,"O08","O03","O01","O11"
27,5,6,"O10","O12","O07","O03"
27,6,2,"O04","O02","O11","O07"
27,7,7,"O08","O07","O05","O06"
27,8,9,"O06","O03","O04","O02"
27,9,12,"O11","O05","O03","O09"
27,10,11,"O10","O06","O12","O11"
27,11,8,"O04","O08","O12","O09"
27,12,1,"O01","O02","O12","O05"
28,1,7,"O06","O07","O05","O08"
28,2,12,"O09","O11","O03","O05"
28,3,11,"O12","O11","O10","O06"
28,4,10,"O09","O07","O01","O06"
28,5,4,"O05","O04","O10","O01"
28,6,5,"O11","O01","O08","O03"
28,7,2,"O02","O11","O07","O04"
28,8,9,"O04","O06","O02","O03"
28,9,8,"O12","O09","O08","O04"
28,10,6,"O07","O03","O12","O10"
28,11,1,"O12","O05","O02","O01"
28,12,3,"O02","O09","O08","O10"
29,1,10,"O07","O06","O09","O01"
29,2,4,"O10","O01","O04","O05"
29,3,5,"O11","O01","O08","O03"
29,4,2,"O02","O07","O11","O04"
29,5,8,"O08","O04","O09","O12"
29,6,11,"O06","O11","O12","O10"
29,7,3,"O02","O09","O10","O08"
29,8,12,"O09","O11","O03","O05"
29,9,9,"O06","O04","O03","O02"
29,10,7,"O05","O06","O07","O08"
29,11,1,"O02","O05","O01","O12"
29,12,6,"O10","O12","O07","O03"
30,1,9,"O06","O03","O04","O02"
30,2,2,"O11","O02","O07","O04"
30,3,12,"O03","O09","O05","O11"
30,4,7,"O05","O06","O07","O08"
30,5,4,"O04","O10","O05","O01"
30,6,1,"O02","O12","O01","O05"
30,7,8,"O09","O04","O08","O12"
30,8,6,"O12","O07","O10","O03"
30,9,11,"O12","O10","O11","O06"
30,10,10,"O09","O01","O06","O07"
30,11,5,"O08","O03","O11","O01"
30,12,3,"O10","O02","O09","O08"
31,1,6,"O12","O03","O07","O10"
31,2,8,"O12","O09","O04","O08"
31,3,3,"O09","O02","O08","O10"
31,4,2,"O02","O07","O04","O11"
31,5,9,"O06","O04","O02","O03"
31,6,5,"O08","O03","O11","O01"
31,7,7,"O06","O08","O05","O07"
31,8,11,"O12","O11","O06","O10"
31,9,10,"O01","O09","O07","O06"
31,10,4,"O04","O05","O10","O01"
31,11,12,"O09","O05","O11","O03"
